WEB_USER_LOGGEDIN-PROFILE-CASH_CLAIMS,2230
WEB_USER_LOGGEDIN-TONIC_CORPORATE_CLICK,67

WEB_USER_LOGGEDIN-BENEFITS_WEB_CLICK-TONIC_WEB_DOCTOR,70
WEB_USER_LOGGEDIN-BENEFITS_WEB_CLICK-APPOINTMENT_WEB_SEARCH,162
WEB_USER_LOGGEDIN-BENEFITS_WEB_CLICK-CASH_WEB_CLICK,977
WEB_USER_LOGGEDIN-BENEFITS_WEB_CLICK-DISCOUNT_WEB_CLICK,845
WEB_USER_LOGGEDIN-BENEFITS_WEB_CLICK-CLAIM_WEB_CLICK,2509

WEB_USER_LOGGEDIN-HOME_BUY_NOW_CLICK,728
WEB_USER_LOGGEDIN-PACKAGES_WEB_CLICK,1739

WEB_USER_LOGGEDIN-HEALTH_NEEDS_WEB_CLICK-HHDISEASE_CLICK,151
WEB_USER_LOGGEDIN-HEALTH_NEEDS_WEB_CLICK-FWYCHILDREN_CLICK,318
WEB_USER_LOGGEDIN-HEALTH_NEEDS_WEB_CLICK-DIABETESE_CLICK,318
